artist;title;year;id;popularity;acousticness;danceability;energy;instrumentalness;mode;tempo;valence;duration_ms;preview_url;genre;language
Los Íberos;Fantastic girl;1970;0ZebTxEfvlKfMrYWWZN0le;6;0.289;0.532;0.832;0.000867;1;;0.546;171733;https://p.scdn.co/mp3-preview/3d3a4cfa92d6a160132897ed7940ebbd1f711a84?cid=516c2d970434462eb2b843d7317ab577;Pop;English
Los Íberos;Te alcanzaré;1970;77U8JpEEZdwYnZAxUSK60p;4;0.299;0.721;0.885;0;0;;0.962;150000;https://p.scdn.co/mp3-preview/22d0c9654d49f788c5ece07ca24a32e45c244e04?cid=516c2d970434462eb2b843d7317ab577;Pop;Spanish
Los Mustang;Mustang, reino prohibido en el Himalaya 1;1970;11KhyoBrSknkcKyvAIeNm1;1;0.00671;0.39;0.713;0.00848;1;;0.577;244133;https://p.scdn.co/mp3-preview/8ba83fb1d1b6590ba07b0da3d4da489aa85be20e?cid=516c2d970434462eb2b843d7317ab577;Rock;Spanish
Los Mustang;Vivir en Bahía;1970;1BK27oarBzuyVPlgLPFkLV;1;0.0369;0.453;0.497;0;1;;0.533;170946;https://p.scdn.co/mp3-preview/76819da424f9e6bccf733c7ff574c37f71b4227e?cid=516c2d970434462eb2b843d7317ab577;Rock;Spanish
Los Pekenikes;Tren transoceánico a Bucaramanga;1970;734qR9ZEJq4nyXsVRx5JeA;13;0.0594;0.737;0.923;0.878;0;;0.961;231000;https://p.scdn.co/mp3-preview/993e8798ad483089590b13c65929aabbeb6078db?cid=516c2d970434462eb2b843d7317ab577;Rock;Instrumental
Los Tamara;A Galicia;1970;5D3VcH3Bnk05mqDl5N0N9o;2;0.226;0.374;0.555;3.27e-05;1;;0.574;301160;https://p.scdn.co/mp3-preview/cfea65c6d86b9558da5d0bf1c0223bf63e66948f?cid=516c2d970434462eb2b843d7317ab577;Pop;Spanish
Máquina!;I Believe;1970;2C7V2T1jtz9Hmjkznm5apK;7;0.000257;0.347;0.471;0.508;0;;0.752;254986;https://p.scdn.co/mp3-preview/6746593af46a2ba4ac5a6bfd28b4d0549e412838?cid=516c2d970434462eb2b843d7317ab577;Rock;Instrumental
Mari Trini;Cuando me acaricias;1970;1rtezmbBa1d0VmmslYsmCL;24;0.854;0.281;0.478;5.74e-05;0;;0.305;170373;https://p.scdn.co/mp3-preview/ae3976cb7c6548b88788471a56008506443172e3?cid=516c2d970434462eb2b843d7317ab577;Pop;Spanish
Massiel;Sabes de qué tengo ganas;1970;1q8Z1qxZAosR1jrRoB6qD4;4;0.827;0.555;0.221;0;1;;0.309;110813;https://p.scdn.co/mp3-preview/2dfa8c0592d8aec50e3e444d5da4b9378558493b?cid=516c2d970434462eb2b843d7317ab577;Ranchera;Spanish
Miguel Ríos;Como el viento;1970;47Oxl0MImlYrUWKJAJwQNb;1;0.467;0.386;0.856;0.0181;1;;0.695;223240;https://p.scdn.co/mp3-preview/84b4a707b3a50112b16cc82772a110a4aefd80d6?cid=516c2d970434462eb2b843d7317ab577;Pop;Spanish
Miguel Ríos;Despierta;1970;49ZTWq3isVmhfEQlAaSFyG;5;0.0951;0.133;0.851;3.63e-06;0;;0.588;193000;https://p.scdn.co/mp3-preview/0bce408e5ed6a5238afead2e79fb4c4d19b33101?cid=516c2d970434462eb2b843d7317ab577;Pop;Spanish
Mocedades;Oi pello pello;1970;49O7MOGBuewFdi3EDTK1aG;12;0.77;0.669;0.13;0.0019;1;;0.695;130986;https://p.scdn.co/mp3-preview/3d6f12a28eb50aa7cc201fcc160f26e0a122d20e?cid=516c2d970434462eb2b843d7317ab577;Folk;Basque
Módulos;Tú ya no estás;1970;4K6c9Zzx4pVURF0pO9vI9q;9;0.231;0.308;0.624;0.000379;1;;0.39;280000;https://p.scdn.co/mp3-preview/0a50e6401c058527ff22d64522a0b60a3d98fb06?cid=516c2d970434462eb2b843d7317ab577;Rock;Spanish
Mungo Jerry;In the summertime;1970;3RNyGLgSvmVRZ7xKUp8Wgd;69;0.724;0.754;0.449;0;1;;0.973;211880;https://p.scdn.co/mp3-preview/ea8c3f26e654c14d732263d1503554863abc1ef6?cid=516c2d970434462eb2b843d7317ab577;Rock;English
Música Dispersa;Cefalea;1970;2DTTNgle2zZnvuzz69PUSi;5;0.0748;0.343;0.413;0.422;1;;0.71;294240;https://p.scdn.co/mp3-preview/dac8f0c60d68d4ee789777a02c8fa321b43f74e2?cid=516c2d970434462eb2b843d7317ab577;Rock;English
Nino Bravo;Puerta de amor;1970;0Us9FvY2DRtrIlqJudrtuB;22;0.686;0.339;0.677;1.14e-06;0;;0.705;202533;;Pop;Spanish
Nino Bravo;Te quiero, te quiero;1970;5ltBmvHslf7tplG5QfLmTt;45;0.846;0.314;0.513;0.000609;0;;0.361;173693;;Pop;Spanish
Nuestro Pequeño Mundo;Banana boat;1970;1skHMNqHN5fDr4kORH5YOQ;7;0.492;0.83;0.813;1.68e-06;1;;0.849;193013;https://p.scdn.co/mp3-preview/7a2825677b2d30ea7d88d975dc13ece4cdeec746?cid=516c2d970434462eb2b843d7317ab577;Folk;English
Nuestro Pequeño Mundo;Oleanna;1970;0NeXkvKgHDjdgOLab9kxXK;3;0.578;0.444;0.785;0;1;;0.973;114560;https://p.scdn.co/mp3-preview/6dd1023cdf6ed07305919da87280ed22040be3e1?cid=516c2d970434462eb2b843d7317ab577;Folk;English
Pedro Ruy-Blas;A los que hirió el amor;1970;1bkVq4iwMgKsBOKLh8UCB2;4;0.427;0.335;0.637;0;1;;0.553;208084;https://p.scdn.co/mp3-preview/bd0ad9ff2b3b79815beae857897ec40325eb85d4?cid=516c2d970434462eb2b843d7317ab577;Pop;Spanish
Simon & Garfunkel;El Condor Pasa;1970;1eN42Q7IWRzRBq8eW2Y2TE;60;0.836;0.33;0.214;0.0701;0;;0.275;187040;https://p.scdn.co/mp3-preview/79b2999b58ff45557c0fd0a5dc0a771a18b788ef?cid=516c2d970434462eb2b843d7317ab577;Folk;English
