artist;title;year;id;genre;language
Los Pekenikes;Hey baby madison;1962;4Rlepw0wBVUz1MiCgR943L;Pop;Spanish
Miguel Ríos;Detén la noche;1962;3pKGyZZ5CnIfpqLzwZVYDJ;Pop;Spanish
Miguel Ríos;El twist;1962;6CSsGiqCgGJPKL6U2zzrSM;Pop;Spanish
Miguel Ríos;No, no lo quiero;1962;3bBWbxiafU50XbaDRPBgjm;Pop;Spanish
Miguel Ríos;Twist del reloj;1962;750SzTYwcURfzG1m1aEGwZ;Pop;Spanish
Milva;Tango italiano;1962;1RQ3ZzjSIXfYoHLNaw4fOZ;Canción italiana;Italian
Miquel Porter;La cançó de la taverna;1962;1LZNrkeNu6nBRkVtzCqMp3;Singer/Songwriter;Catalan
Paul Anka;Dance On Little Girl;1962;7hicCfvTRlRjkrHYim5Gp4;Pop;English
Paul Anka;Love Me Warm And Tender;1962;2gpLU5dhDI62Oo5I3kzJTZ;Pop;English
Remei Margarit;Classe mitja;1962;3fdSyb757sDJDIdaBJXpIb;Singer/Songwriter;Catalan
Rosalía;El pañuelo manchado de rouge;1962;1tJB8zR9KR3jNJLj4cC6bi;Pop;Spanish
The Rocking Boys;Twist en Sevilla;1962;6L0O2FVlUe3U3Cl7iZhnef;Rock;Spanish
Tina y Tesa;La balada de la trompeta;1962;3lKVAmduouTIufBvDZjt5Z;Pop;Spanish
Andy Williams;Maria (West Side Story);1963;4Fr0cHxkxCQmbPVQ8QvQjZ;Canción ligera;English
Baby;Pippermint twist;1963;3iXVrqkMwQH0GpimRKNZfX;Rock;Spanish
Cliff Richard and The Shadows;Summer holiday;1963;054qLeg034PXr1wM3DMstk;Pop;English
Delfí Abella;Cançó del turista;1963;75VZwHxYBFcfi2R2LBdgRx;Singer/Songwriter;Catalan
Dúo Dinámico;Balada Gitana;1963;52cQELA4ZcffMAQIVuoH9n;Pop;Spanish
Dúo Dinámico;Amor de verano;1963;2hOdoS6Y69GD5BR1s8FD5C;Pop;Spanish
Dúo Juvent's;Dime;1963;6KIXAg7jBXvjviN1Lqd95e;Pop;Spanish
Elvis Presley;Return to sender;1963;3uwIoa2emQILz6BmH6MtiW;Pop;Spanish
Enrique Guzman;Dame Felicidad;1963;5RX0rW0SSkc1QOC1sDltUP;Pop;Spanish
Enrique Guzman;Cien kilos de barro;1963;4EuH5egzbPHEXadXd86uLu;Pop;Spanish
Gelu;El partido de fútbol;1963;0WuKz7dAk45RDtxBP62W95;Pop;Spanish
Gelu;Renato;1963;55P1dzsCZYiHqyW1tMS1JR;Pop;Spanish
Karina;Si fuera una princesa;1963;3L5zVdswpukZ8nYGaaf8o8;Pop;Spanish
Los H.H;El ritmo de la lluvia;1963;3MB9x4ITOdd9sPSjkDdlaO;Pop;Spanish
Los Mustang;Telstar;1963;0ca3Jwn06okgs9XUPmplIj;Rock;Instrumental
Los Mustang;Todos los chicos y chicas;1963;1YthgPnAj6zF4rRVQgkZci;Pop;Spanish
Los Relámpagos;Cuando cesa la lluvia;1963;1bJ4BoTPvEFUsqENroHsFz;Rock;Instrumental
Los Relámpagos;Relámpagos;1963;6IUvUGwtceNysin7raGPmL;Rock;Instrumental
Los Tamara;Volver a ti;1963;1MFrjTdw7zhNeJjtZAO0HY;Pop;Spanish
Los Teen tops;Popotitos;1963;57VCdyl9oD11pp1CgI5ODp;Rock;Spanish
Luis Aguilé;Dile (Tell him);1963;1s1UHLscWvgKGad1ga4k7k;Pop;Spanish
Micky y los Tonys;Lup de Lup;1963;2E1pj8ETK5qpUupAVHbBHe;Rock;Spanish
Micky y los Tonys;Ya tengo todo;1963;4sKk3s5gFOWqoOeVBa3MUR;Rock;Spanish
Miguel Ríos;¿Quieres bailar?;1963;6zMpwdEJcHztT3Wg7Nnsen;Rock;Spanish
Ontiveros;Chica alborotada;1963;4sa0zW9b6JygJH41vLAKsr;Rock;Spanish
Paul Anka;A Steel Guitar And A Glass Of Wine;1963;54xxVmu4bycyQ7psgJdzrh;Pop;English
Rita Pavone;Cuore;1963;4IRpIUaWtSxNn7HM7sORhn;Canción italiana;Italian
Rosalía;Dile;1963;6twKwEFJylcOyuXgpfiyny;Pop;Spanish
Tina y Tesa;La locomoción;1963;1b7kbHbHaXrSP8sBXHDwec;Pop;Spanish
Tony Ronald;Hully gully;1963;0oF8YjW67jxWVzOmXBNX90;Rock;Spanish
Tony Vilaplana;El teu besar;1963;51yha04UD828jM43W7PXsU;Rock;Catalan
Alain Barriere;Ma Vie;1964;64z0hyq4NZlozXBhvWNI3y;Chanson;French
Betina;El curso va a empezar;1964;4KKq2mpVTYm0zjylAp4UPu;Pop;Spanish
Betina;La gente;1964;2gR4WOONs8S5cPHfuwotnD;Pop;Spanish
Cilla Black;Anyone Who Had A Heart;1964;28Y2taEFmHofu2EsU04ILf;Pop;English
Gigliola Cinquetti;Non Ho L’Eta (Per Amarti);1964;07rZol7bEXJSUHIcwah0eq;Canción italiana;Italian
José Guardiola;La mamma;1964;2QY8kezPGzcHvhAbqK6LEU;Pop;Spanish
Karina;No está bien;1964;44zSXmUaz54ZTZHmtnN0gV;Pop;Spanish
Karina;Puedo;1964;2QRMLdZFvFXKIs34DeCsQT;Pop;Spanish
Les Surfs;Tu Serás Mi Baby (Be My Baby);1964;14FKsFvZhY3lzNaJxTBR4t;Pop;Spanish
Lone Star;Di si me quieres;1964;75uUlFlCQ36wVoLv6DoHw6;Rock;Spanish
Lone Star;La casa del sol naciente;1964;2Q4dVy1hcAG4qsnqZhJYhp;Rock;Spanish
Los 4 Jets;Zorongo;1964;747t4VRxrmP5EpSyZwEJAm;Rock;Instrumental
Los Ángeles Azules;No es para ti;1964;3uFssrbbPaPUNNb84krOBC;Pop;Spanish
Los Ángeles Azules;Solo quiero estar contigo;1964;04YyfoUP0V6WJ7eXd4hM5u;Pop;Spanish
Los Brincos;Cry;1964;41YbMXoNwLXmzZNo3d0LpV;Rock;English
Los Brincos;Dance the pulga;1964;2Hy58cgFeMmDpcKxzIXKtd;Rock;English
Los Brincos;Tú Me Dijiste Adiós;1964;352wdQ1vnLYhhGaktZ1AtZ;Rock;Spanish
Los Continentales;Don Quijote;1964;049ys0KCutXfGyX6JHAEwZ;Rock;Instrumental
Los Flaps;El vito;1964;1uncJoMIa7I7SWlk8xx1VR;Rock;Instrumental
Los Gatos Negros;Tú serás mi baby;1964;51AmfdGzZCNmeGNFBUTeSo;Pop;Spanish
Los Gatos Negros;Una rotonda sul mare;1964;17ixukPA48D7sGrMK6lmyI;Canción italiana;Spanish
Los Ídolos;¿Cómo lo haces?;1964;0Ae4yIQj3zt0YUCqXa4t9h;Rock;English
Los Javaloyas;Sapore di sale;1964;1O0jZnVHfXkxlQZCTXXGFA;Canción italiana;Italian
Los Mustang;Le snap;1964;0cCI5XMOSLLEFm2DgPhN9x;Pop;Spanish
Los Mustang;Mi vida;1964;7cNHCtJ0IVgPtEPQuMlNEn;Pop;Spanish
Los Mustang;No tiene edad;1964;4WOefVLVz3OnASHamSSpKR;Pop;Spanish
Los Mustang;Please please me;1964;2lBEeIwGip0a2wMWQTnonI;Pop;Spanish
Los Pekenikes;Los cuatro muleros;1964;517wUuTxWcjeMs2eeIQpjn;Rock;Instrumental
Los Pekes;De mi mejor amigo;1964;1Ut81ZYJ20TDkDyOkbRG0V;Pop;Spanish
Los Sirex;Ciao, amigo;1964;6fRHeNNfPQNrToRLuRjAFT;Pop;Spanish
Los Sirex;San Carlos club;1964;5eWEYnx3HGYSehxN7eZZLv;Pop;Spanish
Los Sonor;Charada;1964;2qkrYpx9JB2VaiQOxR6eGa;Rock;Instrumental
Los Tamara;Y por tanto;1964;2Z57pi0eKzlNmMhPpo0gKy;Pop;Spanish
Luis Aguilé;Verde, verde;1964;0SxLv2UlbMJm8ISBQYZL9a;Pop;Spanish
Luis Gardey;Oh, mi Señor;1964;1IUDV0zpEJzF7CPUWlO1z3;Pop;Spanish
Micky y los Tonys;El vendedor de melones;1964;2AoihH14ALg8skPyZj3wqw;Rock;Spanish
Micky y los Tonys;Hay tantas chicas en el mundo;1964;4MvoWTCu2V8MNrGX7hx5Co;Rock;Spanish
Micky y los Tonys;La luna y el toro;1964;1aIJXMPV1ZZ5pGfwYdtGtd;Rock;Instrumental
Micky y los Tonys;No tengo edad para amarte;1964;5FF6HnidZWN9zAuR00LV4S;Rock;Spanish
Micky y los Tonys;Sospecha;1964;5JYW4BzgFgZYTe56U7TRjs;Rock;Spanish
Micky y los Tonys;Zorongo gitano;1964;69ipceZCI0aEvMkhio1HJT;Rock;Instrumental
Miguel Ríos;No pido excusa;1964;5qkbuxOzW78wNM9yx0Wpkb;Pop;Spanish
Miguel Ríos;Serenata bajo el sol;1964;3t913yRwHdv50SWhP4o3IH;Pop;Spanish
Ray Conniff;The Little Drummer Boy;1964;7dbt0rQijN2PDPRQjuVoq7;Pop;English
Remei Margarit;La violoncel·lista;1964;3l2xixLPOAXCI7L4L53wfO;Singer/Songwriter;Catalan
Rita Pavone;Que Me Importa Del Mundo;1964;26862q8ZIX6ktj2jEuOOPI;Canción italiana;Spanish
Rosalía;Ciudad solitaria;1964;6F8UK9JoiYxfTFHGcpXQKL;Pop;Spanish
Rosalía;Dominique;1964;4z8zIfKFBvgCx2xJhw4SRG;Pop;Spanish
Rosalía;Si yo canto;1964;3eeSlnHUPM3NnaFFI0b2VZ;Pop;Spanish
Soledad Miranda;Lo que hace a las chicas llorar;1964;6caHrtlStEjGeE0mawejoR;Pop;Spanish
Sylvie Vartan;Si Je Chante;1964;7uqmV4mlNLgCySp0nXAf10;Chanson;French
The Animals;The House Of The Rising Sun;1964;3XC7Jd6SfrQYKZJ6inyRHK;Rock;English
The Beatles;A Hard Day’s Night;1964;69d54YOS8TOQiUYjX57XeA;Rock;English
The Beatles;Twist And Shout;1964;4Z1fbYp0HuxLBje4MOZcSD;Rock;English
Tony Ronald;Hippy hippy shake;1964;3FvLgdRfe9SML5YfxnBNMX;Rock;Spanish
Trini Lopez;If I Had A Hammer;1964;4JMl6POnS2IPBpVVwDl06P;Pop;English
Bobby Solo;Se Piangi, Se Ridi;1965;3KFtTMzhe5hVTfMur4osaL;Canción italiana;Italian
Bruno Lomas;Comprensión;1965;3mw5zPKlMzJgrPfzR6juqD;Rock;Spanish
Cefe y los Gigantes;Gritaré;1965;3CdVjL2GYHOHILLk3Xj6fl;Rock;Spanish
Cefe y los Gigantes;Sin rencor;1965;5xV9UIlTiIZpbaSMLYOd32;Rock;Spanish
Charles Aznavour;Venecia Sin Ti;1965;4z3HhHDG9CK5sUtFduNKl3;Chanson;Spanish
Conchita Velasco;Chica ye yé;1965;4TIniukb2n4zohTq8WOR5K;Pop;Spanish
Els Dracs;La casa del sol naixent;1965;4LOZx0Q7viMrNmV4KQ7J0R;Rock;Catalan
France Gall;Poupee De Cire, Poupee De Son;1965;7i4WaTC7Xp6SY49aCdcVia;Chanson;French
Francisco Heredero;Capri se acabo;1965;1nW6k9xrOqOujp3siD6sIJ;Pop;Spanish
Francisco Heredero;Mariola;1965;0GnrDxfeqNjG3nuZRbnje6;Pop;Spanish
Gelu;Chao chao;1965;2REuWw3UWCB1UmH6Uj465e;Pop;Spanish
Gianni Morandi;No Soy Digno De Ti;1965;3Yfgq91tSpgoYvK45OuM8R;Canción italiana;Spanish
Guillem d'Efak ;Ran, ran;1965;4uv2dFneHscVQ4sZa7Y607;Singer/Songwriter;Catalan
Jimmy Fontana;El Mundo;1965;2HCN2W2Y6GAfct0NWEtsk0;Canción italiana;Spanish
Joan Manuel Serrat;Una guitarra;1965;1YOtBVPrPJeSe7rsXdreO8;Singer/Songwriter;Catalan
Joan Ramon Bonet;El vent em du;1965;6TxX84Cg4yjKUtHv3QApaz;Singer/Songwriter;Catalan
Johnny & Charley;La Yenka;1965;05wZFncY1qLOBusPsVaABq;Pop;Spanish
Karina;Me Lo Dijo Perez;1965;6Kam6GLJ1LeAu3iBCdcqw1;Pop;Spanish
Karina;Muñeca de cera;1965;4EfwpG7EQEaxCbRZp7Xgmf;Pop;Spanish
Los 4 de la Torre;Mamita;1965;5JEevdBlBEp32IIXq2uFa8;Pop;Spanish
Los Brincos;Flamenco;1965;0hWNl8SlXHJ3dt0VG6hjK0;Rock;Spanish
Los Brincos;Baila la pulga;1965;28B2LwjfIfLCqswIUmDva8;Rock;Spanish
Los Brincos;Borracho;1965;4wMDDWDc5GJesTbeVQPMAq;Rock;Spanish
Los Cheyenes;Conoces el final;1965;0zh2G90z4I016K8ndXZ3Mk;Rock;Spanish
Los Cheyenes;Válgame la Macarena;1965;29Eyb7TY1Y5d7gXqRMFBDf;Rock;Spanish
Los Extraños;Terry;1965;19d9q6Pb3A3XtqjvgFbkV7;Rock;Spanish
Los Flecos;Estás lejos;1965;27rYqQBiWeaBtthT2rCBDZ;Rock;Spanish
Los H.H;Amen;1965;4rJuAg4oDJ3vC5EJPmuB6G;Pop;Spanish
Los Mustang;¡Socorro!;1965;5POg6uDmD2Vj1O9qVa9eoj;Pop;Spanish
Los Mustang;Yo que no vivo sin ti;1965;3qNqMsUqE5WqY8dDttAwg3;Pop;Spanish
Los Nivram;Falsa ilusión;1965;4K8BsSyt0gmeNuG04WeYQA;Pop;Spanish
Los Pájaros Locos;Linda chica;1965;5JZMXjZRRzEyEwhfbGEqf9;Pop;Spanish
Los Pekes;Do wah diddy diddy;1965;1yf78ONEpKmJboIWLWasAz;Pop;Spanish
